Statistics,Machine Learning,Deep Learning,R Language,Python Language,NLP,Data Engineering,Web Development,
statistical models,linear regression,neural network,r,flask,nlp ,aws,reactjs,
statistical modeling,logistic regression,keras,ggplot,django,natural language processing,ec2,angularjs,
probability,K means,theano,shiny,pandas,topic modeling,amazon redshift,react,
normal distribution,random forest,face detection,cran,numpy,lda,s3,angular,
poisson distribution,xgboost,neural networks,dplyr,scikitlearn,named entity recognition,docker,hmtl,
survival models,svm,convulational neural network (cnn),tidyr,sklearn,pos tagging,kubernetes,css,
hypothesis testing,naïve bytes,recurrent neural network (rnn),lubridate,matplotlib,word2vec,scala,javascript,
bayesian inference,pca,object detection,knitr,scipy,word embedding,teredata,nodejs,
factor analysis,decision trees,yolo,,bokeh,lsi,google big query,node,
forecasting,svd,gpu,,statsmodel,spacy,aws lambda,mongodb,
markov chain,ensemble models,cuda,,python,genism,aws emr,mongo,
monte carlo,boltzman machine,tensorflow,,,nltk,hive,web development,
statistics,machine learning,lstm,,,nmf,hadoop,webdev,
,,gan,,,doc2vec,sql,,
,,opencv,,,cbow,data engineering,,
,,deep learning,,,bag of words,,,
,,,,,skip gram,,,
,,,,,bert,,,
,,,,,sentiment analysis,,,
,,,,,chat bot,,,
